Id,SalePrice
1461,117153.537
1462,154873.1908
1463,181847.2508
1464,197144.552
1465,200635.9178
1466,167363.619
1467,178841.5413
1468,159723.141
1469,191688.9526
1470,120613.7994
1471,175380.4392
1472,96543.15941
1473,93802.61729
1474,143243.3412
1475,104776.73
1476,354269.3539
1477,248263.6958
1478,301173.3935
1479,296312.8189
1480,471468.7645
1481,338848.3977
1482,212933.2109
1483,181802.5449
1484,163087.3637
1485,197921.8482
1486,192912.4988
1487,347083.5688
1488,232465.5838
1489,190140.4979
1490,243891.1291
1491,195791.2528
1492,92630.383
1493,187356.6805
1494,301314.1377
1495,291765.1857
1496,235345.4132
1497,179105.233
1498,180555.9394
1499,168011.6542
1500,158050.3341
1501,174074.2193
1502,144822.5849
1503,288783.3721
1504,242449.7388
1505,226961.5467
1506,188070.3119
1507,237376.3961
1508,201490.0968
1509,160175.6515
1510,146094.552
1511,158114.8716
1512,175857.1121
1513,148460.5277
1514,157360.2114
1515,187777.9677
1516,154469.9652
1517,169473.9521
1518,131000.4688
1519,207675.1297
1520,127395.7826
1521,130033.1468
1522,176092.0074
1523,111357.6258
1524,125002.9787
1525,117984.7121
1526,109044.8801
1527,106543.4082
1528,135647.048
1529,155223.5474
1530,192292.9646
1531,108027.3693
1532,98246.89969
1533,147759.9752
1534,127541.8184
1535,143718.4111
1536,107595.9495
1537,58277.00745
1538,152344.9084
1539,191033.0195
1540,91479.16243
1541,139765.9466
1542,138461.6303
1543,175884.4043
1544,89222.12548
1545,115515.2257
1546,140631.7892
1547,133616.6779
1548,140484.5423
1549,120332.3004
1550,137768.5204
1551,106619.6221
1552,135421.5477
1553,144633.0226
1554,117583.4405
1555,158762.1594
1556,84755.27127
1557,109258.0651
1558,105154.3408
1559,69472.12652
1560,130331.5657
1561,121700.237
1562,130369.8842
1563,119026.6302
1564,156114.1505
1565,154185.9912
1566,239737.9795
1567,78066.15818
1568,245817.5121
1569,130415.5549
1570,134635.9786
1571,110057.0902
1572,139073.0188
1573,224606.5453
1574,118658.0561
1575,240284.6413
1576,246179.6464
1577,176317.0477
1578,149577.3877
1579,149598.4181
1580,196144.9623
1581,156138.5123
1582,126579.4298
1583,281487.8925
1584,214505.7572
1585,135408.2872
1586,67577.04389
1587,107560.5787
1588,149038.074
1589,97452.61801
1590,129762.3125
1591,92235.76438
1592,114814.1615
1593,132425.2615
1594,128218.5351
1595,105784.305
1596,212473.4753
1597,199201.037
1598,231560.4852
1599,170734.9828
1600,165318.305
1601,65227.06349
1602,114568.203
1603,76466.80072
1604,260304.2707
1605,238779.9026
1606,168558.019
1607,176918.0482
1608,221106.2126
1609,181027.1943
1610,152942.3338
1611,133078.1515
1612,170830.3961
1613,162458.7712
1614,127248.3205
1615,92976.35003
1616,79378.88089
1617,93222.13287
1618,130695.348
1619,140934.276
1620,149480.3865
1621,131365.3426
1622,145035.7422
1623,261142.0085
1624,209070.5939
1625,116101.9723
1626,172674.3246
1627,194561.1619
1628,276159.2176
1629,183670.5337
1630,325284.2757
1631,227260.2326
1632,241831.2618
1633,180413.2304
1634,186493.5939
1635,172179.3991
1636,151780.8349
1637,198238.2772
1638,176525.5221
1639,187194.0488
1640,246195.7254
1641,179821.2432
1642,249297.322
1643,216674.4141
1644,243365.0833
1645,196682.1
1646,160563.9953
1647,163023.5542
1648,128813.5662
1649,142044.7946
1650,114885.7173
1651,119476.8047
1652,97642.94001
1653,99709.30691
1654,143461.2221
1655,130635.3271
1656,140146.7755
1657,148320.0131
1658,148301.3681
1659,116001.995
1660,154831.1026
1661,432459.6859
1662,384606.4593
1663,367037.6724
1664,463101.4963
1665,305042.3882
1666,331161.2669
1667,369727.0236
1668,348837.2201
1669,318563.5413
1670,350625.0866
1671,265180.609
1672,407334.0497
1673,291552.3862
1674,239676.4809
1675,199591.6458
1676,192921.0276
1677,221257.5835
1678,445991.6492
1679,392223.0254
1680,315958.597
1681,248393.007
1682,325984.3074
1683,186953.252
1684,178042.2769
1685,174246.2678
1686,169065.586
1687,175416.9208
1688,189320.5113
1689,193187.9019
1690,198547.9137
1691,190551.7142
1692,265700.7701
1693,176165.3105
1694,184426.6385
1695,170121.6029
1696,270717.7732
1697,175465.395
1698,344583.7786
1699,314968.5936
1700,257177.7412
1701,269773.548
1702,235701.2342
1703,240874.9235
1704,272960.9353
1705,245961.603
1706,356048.9416
1707,212662.5371
1708,203180.2568
1709,259981.8207
1710,215052.223
1711,281340.1316
1712,248949.1093
1713,279594.2331
1714,227197.9513
1715,209558.8719
1716,185006.9076
1717,179835.6605
1718,139257.0215
1719,211134.318
1720,231836.4151
1721,159907.8024
1722,124558.5214
1723,153938.3271
1724,200704.7761
1725,236545.2347
1726,183215.8738
1727,155844.6026
1728,170777.4755
1729,170111.6457
1730,155132.7615
1731,118189.626
